matkul,tipe,deskripsi,sisaHari,tanggal
Fisika IA,UAS,ujian,22,5/12/2022
Bahasa Inggris,UAS,ujian,23,6/12/2022
Tata Tulis Karya Ilmiah,UAS,ujian,23,6/12/2022
Matematika IA,UAS,ujian,25,8/12/2022
Pengenalan Komputasi,UAS,ujian,26,9/12/2022
Olah Raga,UAS,ujian,26,9/12/2022
Fisika IA,Tugas,RBL,15,28/11/2022
Fisika IA,Kuis,materi,4,17/11/2022
Matematika IA,Kuis,KBF,1,14/11/2022
GIM,Tugas,Buat game,5,18/11/2022
Tata Tulis Karya Ilmiah,Tugas,Membuat laporan,5,18/11/2022
GDSC,Tugas,Menggunakan git,5,18/11/2022
